Voici la liste des ancêtres de Jésus-Christ, descendant de David, lui-même descendant d'Abraham.	Ŋwa'nyə nə ŋkhənyə Yeso Kristo mú David, mú Abraham.
Abraham fut père d'Isaac, Isaac de Jacob, Jacob de Juda et de ses frères	Abraham lə tsə́ Isak, Isak tsə́ Yakop, Yakop tsə́ Yuda pu a mfɑ pyə́
Juda fut père de Pérès et de Zéra – leur mère était Tamar –, Pérès fut père de Hesron, Hesron de Ram	Yuda pu Tamar tsə́ Farɛs ba Zora, Farɛs tsə́ Esrom, Esrom tsə́ Aram
Ram fut père d'Amminadab; Amminadab de Nachon, Nachon de Salman	Aram tsə́ Aminadab, Aminadab tsə́ Nasoŋ, Nasoŋ tsə́ Salmoŋ
Salman fut père de Booz – Rahab était sa mère –, Booz fut père d'Obed – Ruth était sa mère –, Obed fut père de Jessé	Salmoŋ pu Rahab tsə́ Boos, Boos pu Rut tsə́ Obɛb, Obɛb tsə́ Yese
et Jessé du roi David. David fut père de Salomon – sa mère avait été la femme d'Urie –	Yese tsə fo David, David pu jwi Uria tsə́ Salomoŋ
Salomon fut père de Roboam, Roboam d'Abia, Abia d'Asaf	Salomoŋ tsə́ Roboam, Roboam tsə́ Abia, Abia tsə Asaf
Asaf fut père de Josaphat, Josaphat de Joram, Joram d'Ozias	Asaf tsə Yosafat, Yosafat tsə́ Yɔram, Yɔram tsə Osia
Ozias fut père de Yotam, Yotam d'Akaz, Akaz d'Ézékias	Osia tsə Yɔatam, Yɔatam tsə́ Akaz, Akaz tsə Ezekias
Ézékias fut père de Manassé, Manassé d'Amon, Amon de Josias	Ezekias tsə́ Manase, Manase tsə́ Amoŋ, Amoŋ tsə́ Yozia
Josias fut père de Yekonia et de ses frères, à l'époque où les Israélites furent déportés à Babylone.	Yozia tsə́ Yekonia pu a mfɑ pyə, nə cwə yə pu lə lɑ pɑ Israɛl gɔ m Babilon a.
Après que les Israélites eurent été déportés à Babylone, Yekonia fut père de Chéaltiel, et Chéaltiel de Zorobabel	Pɑ Israɛl lə fɑ̌ Babilon, Yekonia tsə Salatiɛl, Salatiɛl tsə́ Zorobabɛl
Zorobabel fut père d'Abihoud, Abihoud d'Éliakim; Éliakim d'Azor	Zorobabɛl tsə́ Abiud, Abiud tsə́ Eliakim, Eliakim tsə Azɔr
Azor fut père de Sadok, Sadok d'Achim, Achim d'Élioud	Azɔr tsə́ Sadɔk, Sadɔk tsə́ Akim, Akim tsə́ Eliud
Élioud fut père d'Éléazar, Éléazar de Matthan, Matthan de Jacob	Eliud tsə́ Eleazar, Eleazar tsə́ Matan, Matan tsə́ Yakop
Jacob fut père de Joseph, l'époux de Marie; c'est d'elle qu'est né Jésus, appelé le Messie.	Yakop tsə́ Yosɛp dhə́ Maria, ma Yeso yə pu ŋkhe e gɑ Kristo a.
Il y eut donc en tout quatorze générations depuis Abraham jusqu'à David, puis quatorze depuis David jusqu'à l'époque où les Israélites furent déportés à Babylone, et quatorze depuis cette époque jusqu'à la naissance du Messie.	Guŋ Ŋkhənyə Yeso tə fɑ nə Abraham gɔ ŋkhəm nə David bɑ m zhəŋ shwɔppfʉə m gham; biŋ fɑ nə David gɔ ŋkhəm nə cwə Babilon bɑ m zhəŋ shwɔppfʉə m gham, fɑ nə cwə Babilon gɔ ŋkhəm nə Kristo bɑ mzhəŋ shwɔppfʉə mgham.
Voici dans quelles circonstances Jésus-Christ est né. Marie, sa mère, était fiancée à Joseph; mais avant qu'ils aient vécu ensemble, elle se trouva enceinte par l'action du Saint-Esprit.	Pɑ yu' pa' pu lə tsə Yeso a. Yosɛp lə ko nə map e Maria. Da' gɑ́ pu e lə yɑtə wuŋ dɔmdyə, gʉ' Zhwenyə Dɔlɔ̌ ghə e pɑ tsʉ̌m.
Joseph, son fiancé, était un homme droit et ne voulait pas la dénoncer publiquement; il décida de rompre secrètement ses fiançailles.	Yosɛp, dhə e yə e lə bɑ́ mo dəŋdəŋ, la' e pɑwə shəŋ nə lɑ sǒ ŋkhu Maria sɔsɔ̌ á, lə nyəŋ nə təm nə e pɑ́ m jʉmjʉ̀m.
Comme il y pensait, un ange du Seigneur lui apparut dans un rêve et lui dit: «Joseph, descendant de David, ne crains pas d'épouser Marie, car c'est par l'action du Saint-Esprit qu'elle attend un enfant.	E lə sɛ nə ghə po'o, da'gɑ́ aŋgəle Cyəpɔ sɔ' bi e m nthʉm jʉ̀m gɔm bi e gɑ: Yosɛp mu David, kɑ pwɔk nə lɑ Maria jwi o la' o, nə pa' tsʉ̌m é fɑ m nə Zhwenyə Dɔlɔ̌ a.
Elle mettra au monde un fils, que tu appelleras Jésus, car il sauvera son peuple de ses péchés.»	E nəŋ gɔ sɔ' tsə́ mú mbɛ, o ke é gɑ́ Yeso, nə pa' yʉ́ nə gɔ sɔ' vɔ́k pɔ pyə nə mhɔ máp a.
Tout cela arriva afin que se réalise ce que le Seigneur avait dit par le prophète	Guŋ mnwə bɔ lə nthəm po'o gɑ guŋ ywə yə Cyəpɔ lə cyə m nə gɔm ghɔm Si gɔm á a pəmtə gɑ
«La vierge sera enceinte et mettra au monde un fils, qu'on appellera Emmanuel.» – Ce nom signifie «Dieu est avec nous».	Gò tə wuŋ jyə m bɛ gɔ sɔ' pɑ́ tsʉ́m, tsə mú mbɛ, pú ke tsó tsyə́ gɑ Emanuɛl, a pɑ nthutə' gɑ: Si bɑ cəcɑ̌ pɑ.
Quand Joseph se réveilla, il agit comme l'ange du Seigneur le lui avait ordonné et prit Marie comme épouse.	Yosɛp lə yǎm gə ywə yə aŋgəle Cyəpɔ lə ghɔm bi a: E lə lɑ Maria jwi é dyə é
Mais il n'eut pas de relations avec elle jusqu'à ce qu'elle ait mis au monde son fils, que Joseph appela Jésus.	da' gɑ e lə zhyə e, tə e la' dzə mú mbɛ tə e cwətso tsyə gɑ Yeso.
Jésus naquit à Bethléem, en Judée, à l'époque où Hérode était roi. Après sa naissance, des savants, spécialistes des étoiles, vinrent d'Orient. Ils arrivèrent à Jérusalem	Pú dzə́ Yeso Bɛtəlehɛm m Yudea, nə cwə fo Herode. Shɑ́ mghɛ zhyə́ sɛ fɑ ghəŋ nthəm nam ŋwak Yerusalɛm
et demandèrent: «Où est l'enfant qui vient de naître, le roi des Juifs? Nous avons vu son étoile apparaître en Orient et nous sommes venus l'adorer.»	dzɑ́tə́ gɑ: Fo pɑ Yudea yə pu bɑwə tə́ dzə́ e a hɑ? Nə pa' pyə yɔ sɛ tsyə́ ghəŋ nthəm nam tə́ sɔ' m nə ghamtə e.
Quand le roi Hérode apprit cette nouvelle, il fut troublé, ainsi que toute la population de Jérusalem.	Fo Herode lə nə yu' mcuŋ bɔ, a va' e, ba guŋ Yerusalɛm awɛ.
Il convoqua tous les chefs des prêtres et les maîtres de la loi, et leur demanda où le Messie devait naître.	E lə cu'tə guŋ mkamsi gwyəgwyə awɛ pu a guŋ pɑ zhyɛ mco' awɛ nthʉm guŋ, həŋtə́ wap tsʉ' yə pu lə gɔ la' tsə́ Mesia nə a.
Ils lui répondirent: «A Bethléem, en Judée. Car voici ce que le prophète a écrit	Wap ghɔm bi e gɑ: M Bɛtəlehɛm m Yudea, nə pa' ywə yə gɔ̀m ghɔ̀m Si lə və a bɑ gɑ
“Et toi, Bethléem, au pays de Juda, tu n'es certainement pas la moins importante des localités de Juda; car c'est de toi que viendra un chef qui conduira mon peuple, Israël.” »	Wə Bɛtəlehɛm, cǎ' pɑ Yudea, o tə bɑ jʉɔjʉ̀m nə mtisuŋ pɑ Yudea pɑ; nə pa' Fo yə e gɔ sɔ' pɑ cya pɑ Israɛl pɔ pɑ̌ a gɔ sɔ' təm bu.
Alors Hérode convoqua secrètement les savants et s'informa auprès d'eux du moment précis où l'étoile était apparue.	A lə pɑ po'o, fo Herode ghə pu ké mghɛ zhyə sɛ m càm e həŋtə wap kwa' cwə yə sɛ bɔ kɑ təm a
Puis il les envoya à Bethléem, en leur disant: «Allez chercher des renseignements précis sur l'enfant; et quand vous l'aurez trouvé, faites-le-moi savoir, afin que j'aille, moi aussi, l'adorer.»	tə biŋ nə təm wap Bɛtəlehɛm gɔm bi pu gɑ́: Po ghɔ shəŋtə həŋtə́ mcuŋ nə mu bɔ̌; cwə yə pɔ yɔ e a po ghə ŋ jyə, po'o gɑ ba myə̀ ghɔ gamtə e yɑ̌.
Après avoir reçu ces instructions du roi, ils partirent. Ils virent alors l'étoile qu'ils avaient déjà remarquée en Orient: elle allait devant eux, et quand elle arriva au-dessus de l'endroit où se trouvait l'enfant, elle s'arrêta.	Wap lə yu' ghɔm fo cwəlɔ, ntham məjyə; sɛ tsyə wap kɑ yɔ̌ ghəŋ nthəm nam a ghiŋ bɑ dzə pu tə gɔ nthiŋnyə dəm tsʉ' yə mu bɔ lə bɑ nə a.
Ils furent remplis d'une très grande joie en la voyant là.	Wap lə nə yɔ sɛ cwəlɔ kwa' mɑ ŋwɛnyə ko nə pu.
Ils entrèrent dans la maison et virent l'enfant avec sa mère, Marie. Ils se mirent à genoux pour adorer l'enfant; puis ils ouvrirent leurs bagages et lui offrirent des cadeaux: de l'or, de l'encens et de la myrrhe.	Wap lə kodyə, jɔ mú pu Maria map e; ŋkham mkwi'tə map dzə é, gamtə e, biŋ ntha' mpʉə map cwəlɔ, hɑ tʉ́ɔ gɔl, ba phə tʉɔdəŋ pú a mwɑ̌ tʉɔdəŋ bi e.
Ensuite, Dieu les avertit dans un rêve de ne pas retourner auprès d'Hérode; ils prirent alors un autre chemin pour rentrer dans leur pays.	Si lə cyə́ m nthʉm jʉm biŋ gɔm bi pu gɑ́ wap kɑ piŋ bɑnyə bəŋ Herode, wap lə cyə m nə mu' məjyə dyɛ' bɑnyə gǔŋ pú.
Quand les savants furent partis, un ange du Seigneur apparut à Joseph dans un rêve et lui dit: «Debout, prends avec toi l'enfant et sa mère et fuis en Égypte; restes-y jusqu'à ce que je te dise de revenir. Car Hérode va rechercher l'enfant pour le faire mourir.»	Mghɛ zhyə sɛ lə cwə́ tə gɔ̌, aŋgəle Cyəpɔ sɔ' bi Yosɛp m nthʉ̌m jʉ̀m gɔm bi e gɑ: Lusi dɑ mú pu map e ŋkhʉ gɔ Egipto, shwə wə tə ŋkhəm cwə yə gɑ ghɔm a, nə pa' Herode wə gɔ cə́ŋ mú nə zhwə e.
Joseph se leva donc, prit avec lui l'enfant et sa mère, en pleine nuit, et se réfugia en Égypte.	Yosɛp lə lusi pɑ mtsʉ' dɑ mú pu map e gɔ Egipto.
Il y resta jusqu'à la mort d'Hérode. Cela arriva afin que se réalise ce que le Seigneur avait dit par le prophète: «J'ai appelé mon fils à sortir d'Égypte.»	E lə cwə́ wə́ tə ŋkhəm cwə yə Herode lə pfʉ a, po'o gɑ ywə yə Cyəpɔ lə ghɔm shyə m nə gɔm ghɔm Si a, a pəmtə gɑ: Gɑ̌ ke mú a, nthé é Egipto.
Quand Hérode se rendit compte que les savants l'avaient trompé, il entra dans une grande colère. Il donna l'ordre de tuer, à Bethléem et dans les environs, tous les garçons de moins de deux ans; cette limite d'âge correspondait aux indications que les savants lui avaient données.	Herode lə nə yɔ gɑ́ mghɛ zhyə sɛ fʉtə e, nwə pɔk e, e təm gɑ pu ghɔ Bɛtəlehɛm, ba m nthʉm guŋ e awɛ, jwətə guŋ pɔ awɛ tə ŋkhəm nə gu' pʉ́ə, dəŋ pa' mghɛ zhyə sɛ lə siŋ e a.
Alors se réalisa ce qu'avait déclaré le prophète Jérémie	A pɑ po'o ywə yə Yeremia gɔm ghɔm Si lə ghɔm a, a pəmtə gɑ
«On a entendu une plainte à Rama, des pleurs et de grandes lamentations. C'est Rachel qui pleure ses enfants, elle ne veut pas être consolée, car ils sont morts.»	Pu yu' gi mo Rama, e pɑwə dɔ̌ biŋ bɑwə shwe; Lachɛl nə dɔ po pyə, la' e pɑwə biŋ gɑ mo zhwyətə e, nə pa' po pyə tə yɑwə pɑ́.
