à	á
faim	zà
mûr	vɔ
mûr	tìg
noix	de
or	gôl1
ais	pìb
pot	mbə
rire	wɛ
sol	sí1
sœur	mɔ
ail	lây1
ainsi	na
alors	hɔ
ami	mbóy
camp	yád
chez	ábɔ
côte	kòn
deux	-bǎ
déjà	àyǎ
dos	mbúz
dose	dóz
fer	ì-cè
fève	mbɔ
gant	gáŋ
laver	sò
ma	-am̋à
mal	kwàn
mal	bɔǵ
maman	nà
matin	cə
mer	m-áŋ
même	sêm
mère	ɲɔ
non	àyâá
poule	kú
oux	mázâ
puer	nùm
atre	-nà
	m̀-pyáŋ
sexe	zùd
endu	bô
terre	cà
on	ì-tón
tout	-sə
tuer	wéy
un	-mwág
un	pwág
vomir	jó
aide	ì-kà
aider	kà1
aigu	vól
amer	jòl
atom	tɔm̌
ahi	pòdbò
banc	báŋ1
base	tín1
bière	byâ
bêler	tàd
bleu	ɲól2
boa	mbɔm̀
boire	ɲúŋ
bon	ɲəb̀
brin	kɔŋ́
bœuf	ɲàg
bœuf	kág1
arter	bó2
chien	mbú
ciel	d-ǒb
citer	túd
clan	éton
lore	kpá
cola	gòdò
comme	ànə
cri	ǹ-tàd
cri	pɛď
cri	káálá
cru	nùmní
deux	bàà
Dieu	zàmá
donc	vɔ3́
face	à-sú
faire	kòm
famine	zà
finir	màn
flanc	mbà
forger	lú
fort	ŋgùl
fufu	vùvú
fuir	tú1
fuir	sɔ3́
fumet	zǐŋ
gagner	dɔ
gare	bán1
germer	jò
guib	són
haïr	síŋ1
haut	jàb
homme	pâm
huit	ŋmàm
intrus	kɔ
jeu	ì-vǒy
jeu	à-byà
jonc	kwǎl
jouer	càb
kilo	kílâ
jouir	càb
kola	gòdò
laid	à-bé
laid	ɲěy
ever	nálâ
lever	sám
liste	líz
litre	líd
long	jàb
lèpre	zǎm
mal	faire
mal	ù-bà
manger	dí
	mìŋkə́ŋə
maïs	mbàz
mes	-am̋à
miel	w-ěy
mon	-am̋à
mouler	mə
mûr	ɲ́câ
net	kpáám
nez	d-ǒy2
nid	d-ùmá
nom	d-ǒy1
nos	-èèní
nu	ɲ̀-cɔ
nu	ǹ-nəŋ́
nul	zəz̀è
okra	pɛž
os	ì-vɛž
passé	màn
perdre	dá
porc	ŋgǒy
pépin	mbɔ
père	íꜜsá
prune	sá1
rat	sálâ
rien	háb1
rite	bíná
robe	kàbà
robe	kàbà
safou	sá1
sel	ŋ̀-kǔ
pùŋ	sósô
suie	pìdà
sœur	kál1
aler	ɲɛd̀
Tchad	cád
kàdì	síl
tic	púúlá
irer	hɛd́
trois	-lá
tôt	kún1
téter	ɲáŋ
type	kán
vache	ɲàg
venir	zù
vert	ɲól2
vie	ì-nìŋ
vivre	nìŋ
voler	jíb
w.c	ì-dúg
vos	-èèní
vrai	ɲǎ2
aboyer	bón
accord	cíŋ
acide	ŋmám
aimer	dìŋ2
aller	kə3̀
amuser	càb
aîné	ǹ-tól
arbre	ì-lə
wóódè	pǒn
arche	árkâ
assez	ndúŋ
avare	àkàb
bander	vàŋ
barbe	zɛl̀
bien	ɲəb̀
blanc	pùm
bénir	bàbì
bois	ŋgàlà
bois	kóŋô
bondir	józ
bras	ì-nàm
brio	nəg̀
bruine	pòb
bâton	kóŋô
buffle	ɲád
but	ì-kɛǹ
cadeau	dáz
cadet	mbúz
caprin	só
casser	bó1
centre	zǎŋ
cerveau	bɔ
chanter	jà
chaque	-sə
chose	d-àm
cinq	-tán1
citron	mǎŋ
lat	ì-pɛź
lore	kəǵ2
cor	ì-bágî
